id,situacao,cargo,funcao
824318,Pensionista,PROFESSOR DO MAGISTERIO SUPERIOR,Sem função
446407,Ativo,AUXILIAR DE ENFERMAGEM,Sem função
3467822,Pensionista,TECNICO DE LABORATORIO AREA,Sem função
471135,Ativo,PROFESSOR DO MAGISTERIO SUPERIOR,Sem função
471135,Ativo,Sem informaç,FUC 000.1
369929,Aposentado,AUX EM ADMINISTRACAO,Sem função
1730554,Aposentado,PROFESSOR DO MAGISTERIO SUPERIOR,Sem função
1730554,Pensionista,PROFESSOR DO MAGISTERIO SUPERIOR,Sem função
2371245,Aposentado,SECRETARIO EXECUTIVO,Sem função
753611,Aposentado,VIGILANTE,Sem função
3509270,Aposentado,TECNICO DE LABORATORIO AREA,Sem função
2460284,Ativo,TECNICO DE LABORATORIO AREA,Sem função
2128089,Aposentado,AUX EM ADMINISTRACAO,Sem função
445174,Ativo,TRADUTOR INTERPRETE DE LINGUAGEM SINAIS,Sem função
436699,Ativo,AUXILIAR DE ENFERMAGEM,Sem função
797605,Pensionista,RECEPCIONISTA,Sem função
2536776,Ativo,ASSISTENTE EM ADMINISTRACAO,Sem função
2393559,Aposentado,ASSISTENTE EM ADMINISTRACAO,Sem função
2318346,Ativo,TECNICO EM ASSUNTOS EDUCACIONAIS,Sem função
2410112,Ativo,VIGILANTE,Sem função
2206791,Aposentado,PROFESSOR DO MAGISTERIO SUPERIOR,Sem função
1740732,Ativo,ASSISTENTE EM ADMINISTRACAO,Sem função
954693,Ativo,VIGILANTE,Sem função
1598735,Aposentado,AUXILIAR DE ENFERMAGEM,Sem função
850725,Ativo,ADMINISTRADOR,Sem função
850725,Ativo,Sem informaç,GF 002.7
212924,Ativo,PROFESSOR DO MAGISTERIO SUPERIOR,Sem função
3278166,Ativo,VIGILANTE,Sem função
1117198,Ativo,ENGENHEIRO-AREA,Sem função
2841380,Ativo,ASSISTENTE EM ADMINISTRACAO,Sem função
3358779,Aposentado,PROFESSOR DO MAGISTERIO SUPERIOR,Sem função
2333255,Aposentado,ASSISTENTE EM ADMINISTRACAO,Sem função
1281687,Ativo,PROFESSOR DO MAGISTERIO SUPERIOR,Sem função
2790412,Ativo,TECNICO DE LABORATORIO AREA,Sem função
70488,Aposentado,VIGILANTE,Sem função
2717044,Aposentado,PROFESSOR DO MAGISTERIO SUPERIOR,Sem função
1610337,Aposentado,TECNICO DE LABORATORIO AREA,Sem função
1366833,Aposentado,AUX EM ADMINISTRACAO,Sem função
2325233,Pensionista,CONTADOR,Sem função
2789314,Ativo,COPEIRO,Sem função
951631,Ativo,PROFESSOR DO MAGISTERIO SUPERIOR,Sem função
974203,Ativo,PROFESSOR DO MAGISTERIO SUPERIOR,Sem função
1266966,Ativo,PROFESSOR MAGISTERIO SUPERIOR-SUBSTITUTO,Sem função
3187952,Ativo,AUXILIAR DE ENFERMAGEM,Sem função
1278852,Ativo,AUXILIAR DE ENFERMAGEM,Sem função
543503,Ativo,VIGILANTE,Sem função
2576505,Pensionista,MOTORISTA,Sem função
1350472,Aposentado,ASSISTENTE EM ADMINISTRACAO,Sem função
1998743,Ativo,TECNICO EM ENFERMAGEM,Sem função
1978795,Aposentado,AUX EM ADMINISTRACAO,Sem função
2689129,Aposentado,PROFESSOR DO MAGISTERIO SUPERIOR,Sem função
1561393,Aposentado,PROFESSOR DO MAGISTERIO SUPERIOR,Sem função
3543561,Pensionista,ASSISTENTE EM ADMINISTRACAO,Sem função
3651985,Aposentado,SECRETARIO EXECUTIVO,Sem função
3292790,Pensionista,ASSISTENTE EM ADMINISTRACAO,Sem função
145760,Aposentado,VIGILANTE,Sem função
1461990,Ativo,PROFESSOR DO MAGISTERIO SUPERIOR,Sem função
3596867,Pensionista,PROFESSOR DO MAGISTERIO SUPERIOR,Sem função
1888335,Ativo,TECNICO EM RADIOLOGIA,Sem função
554996,Aposentado,AUXILIAR DE LABORATORIO,Sem função
2967561,Aposentado,PROFESSOR DO MAGISTERIO SUPERIOR,Sem função
3656578,Pensionista,TECNICO DE LABORATORIO AREA,Sem função
2450423,Aposentado,PROFESSOR ENS BASICO TECN TECNOLOGICO,Sem função
2014535,Aposentado,ASSISTENTE EM ADMINISTRACAO,Sem função
